"Tweet","Created","Source","ScreenName"
"RT @raBnson_Weather: Comcast, I have no email. This is bad for my small business.  Their response ""Oh, I'm sorry for that"". Problem not res…",2014-12-15 20:21:11,"Twitter for iPhone","gopTODD"
"Someone needs to tell #Xfinity that you cannot cover up a system-wide #comcast email failure in 2014. People all over are blogging about it.",2014-12-15 20:20:08,"Twitter for iPhone","gopTODD"
"My #comcast email stopped functioning in four different devices last Friday. #Xfinity wants me to believe it was just a coincidence.",2014-12-15 20:02:43,"Twitter for iPhone","gopTODD"
"#Comcast email experienced a system-wide failure last Friday. But #xfinity is pretending it didn't happen.",2014-12-15 20:01:16,"Twitter for iPhone","gopTODD"
"@comcast how do i email you",2014-12-15 19:59:49,"Twitter for iPhone","Chemicalcamila"
"Comcast, I have no email. This is bad for my small business.  Their response ""Oh, I'm sorry for that"". Problem not resolved. #comcast",2014-12-15 19:04:13,"Twitter Web Client","raBnson_Weather"
"@comcast email billing....your guys are scumbags....send out paper bills you cheap Jew bastards....and your service blows",2014-12-15 17:22:52,"Twitter for iPad","inqusitiontime"
"@DirecTV_Taylor @comcast sounds good - can you dm me your email? I'd like to inquire about pricing.",2014-12-15 16:20:28,"Twitter Web Client","andychuckchase"
"@Verizon with Trueswitch no longer working how do I migrate from comcast email to Verizon and not lose everything?",2014-12-15 13:38:54,"Twitter Web Client","chasmurf"
"@Br1ckWaLL30 Unfortunately not, but if you are able to sign in to HBOGo you can watch it there. I can sign in with my comcast email",2014-12-15 05:00:21,"Twitter Web Client","FlyingRed527"
"Comcast, I have no email. This is bad for my small business.  Their response ""Oh, I'm sorry for that"". Problem not resolved. #comcast",2014-12-15 03:25:11,"Twitter Web Client","HaddrellsPointv"
"@comcast I had an email account with you for 10 years...I moved and tried to go back into the same email account. Without notice..",2014-12-14 23:14:42,"Twitter for Android","golddie68"
"@KyoungKeezy They do email you, but they email your comcast email account you probably don't even use.",2014-12-14 18:14:01,"TweetDeck","AzureAngel17"
"Apparently Comcast doesn't email you when a bill is due? That's really only hurting you you know",2014-12-14 18:13:01,"Twitter for Android","KyoungKeezy"
"Comcast, I have no email. This is bad for my small business.  Their response ""Oh, I'm sorry for that"". Problem not resolved. #comcast",2014-12-14 11:39:58,"Twitter Web Client","ChanceHetha"
"Words cannot describe how much I h8 Comcast's cryptic, click-bait articles &amp; videos. Makes me embarrassed 2 have my email account with 'em.",2014-12-14 00:02:42,"Twitter Web Client","PhantomInChains"
"Comcast takes a 20 mins to answer my call but has no problem filling me email box with spam every hour on the hour.",2014-12-13 21:51:46,"Twitter for iPad","ValVictory"
"@bantuhkt pretend to send me email in your Comcast email in apple mail and try to type in yottzumm at gmail. Good luck",2014-12-13 21:49:22,"Twitter for Android","JohnYottzumm"
"@comcast need a customer service email. Your chat agent isn't understanding #servicefail",2014-12-13 21:39:26,"Twitter for Android","moore772"
"Comcast, I have no email. This is bad for my small business.  Their response ""Oh, I'm sorry for that"". Problem not resolved. #comcast",2014-12-13 19:58:26,"Twitter Web Client","culturalmanev"
"@Comcast no email access since nov 21 and they keep saying they are working in it. Help",2014-12-13 18:17:22,"Mobile Web (M5)","OlgaGanoudis"
"Comcast, I have no email. This is bad for my small business.  Their response ""Oh, I'm sorry for that"". Problem not resolved. #comcast",2014-12-13 04:10:07,"Twitter Web Client","bwncukaqxvy"
"Jennifer Abel - Comcast email alert: don't click that link! http://t.co/TdskxEPXiE",2014-12-13 00:20:17,"Twitter for Websites","JeffPatterson11"
"@comcast @comcastcares Horrible Service.  Been on phone with at least 12 different Reps.  Now won't honor deal w/ a confimation email.",2014-12-13 00:16:59,"Twitter Web Client","mutchlerbj"
"@bantuhkt that's convincing!  Do you still have your old email address at comcast?  Please email me or something.  This is far too public.",2014-12-12 23:09:20,"Twitter for Android","JohnYottzumm"
"@comcast For some reason my email has a delay of several hours. Not good.",2014-12-12 21:16:47,"Twitterrific","p38lightning"
